# 対象 5 レースの単勝オッズ（サンプル）。買う直前に実オッズへ差し替えて使う。
# race=1..5（WIN5 の1〜5レース目）, umaban=馬番, odds=単勝オッズ(倍), horse=馬名(任意), pop=人気順(任意)
race,umaban,odds,horse,pop
1,5,2.4,アルファ,1
1,3,3.8,ブラボー,2
1,8,5.1,チャーリー,3
1,1,9.0,デルタ,4
1,7,15.0,エコー,5
2,2,1.8,フォックス,1
2,6,4.2,ゴルフ,2
2,4,6.0,ホテル,3
2,9,12.0,インディア,4
3,7,3.0,ジュリエット,1
3,1,3.4,キロ,2
3,10,4.5,リマ,3
3,3,7.0,マイク,4
3,5,11.0,ノベンバー,5
4,4,1.5,オスカー,1
4,8,5.5,パパ,2
4,2,8.0,ケベック,3
4,11,20.0,ロメオ,4
5,12,4.0,シエラ,1
5,7,4.3,タンゴ,2
5,3,5.0,ユニフォーム,3
5,9,6.5,ヴィクター,4
5,1,9.0,ウイスキー,5
5,15,18.0,エックスレイ,6
