# JRA WIN5 results 2025 (Jan-May) -- transcribed from JRA-VAN screenshots.
# date,race,grade : 確実に読み取れたメタデータ（要チェック）
# payout_yen      : WIN5 払戻金（100円あたり）。空欄=キャリーオーバー/不的中
# hit_tickets     : 的中票数
# p1..p5          : 各レース当選馬の「人気」順位。【未入力=要転記】小さい色付き数字のため画像から読めず空欄
# pops_verified   : 人気5つが正確に入力・検証済みなら True
date,race,grade,payout_yen,hit_tickets,p1,p2,p3,p4,p5,pops_verified
2025-01-04,日刊スポーツ賞中山金杯,G3,2775800,184,,,,,,False
2025-01-11,フェアリーステークス,G3,2787230,157,,,,,,False
2025-01-12,シンザン記念,G3,2295980,192,,,,,,False
2025-01-18,日経新春杯,G2,3365520,145,,,,,,False
2025-01-25,アメリカJCC,G2,6120530,81,,,,,,False
2025-02-01,根岸ステークス,G3,,0,,,,,,False
2025-02-15,京都記念,G2,1559760,3159,,,,,,False
2025-02-22,フェブラリーステークス,G1,215180,3590,,,,,,False
2025-03-01,中山記念,G2,312270,2181,,,,,,False
2025-03-08,弥生賞ディープインパクト記念,G2,33950990,20,,,,,,False
2025-03-15,スプリングステークス,G2,34997770,17,,,,,,False
2025-03-22,阪神大賞典,G2,5256900,110,,,,,,False
2025-03-29,高松宮記念,G1,406190,1341,,,,,,False
2025-04-05,大阪杯,G1,233700,2277,,,,,,False
2025-04-12,桜花賞,G1,11445690,51,,,,,,False
2025-04-19,皐月賞,G1,10041410,55,,,,,,False
2025-04-25,青葉賞,G2,150775450,2,,,,,,False
2025-04-26,フローラステークス,G2,541700,956,,,,,,False
2025-05-02,京王杯スプリングカップ,G2,5258560,61,,,,,,False
2025-05-03,天皇賞(春),G1,2542050,227,,,,,,False
2025-05-09,京都新聞杯,G2,1874760,186,,,,,,False
2025-05-10,NHKマイルカップ,G1,458890,1179,,,,,,False
2025-05-16,新潟大賞典,G3,2500570,130,,,,,,False
2025-05-17,ヴィクトリアマイル,G1,1821170,297,,,,,,False
2025-05-23,平安ステークス,G3,782390,400,,,,,,False
2025-05-24,優駿牝馬(オークス),G1,1271050,459,,,,,,False
2025-05-30,葵ステークス,G3,250490,1477,,,,,,False
2025-05-31,東京優駿(日本ダービー),G1,162030,3618,,,,,,False
